;city;IVS (2010);IDHM;populacao_estimada_2020;city_ibge_code;cases_media_apr;deaths_media_apr;cases_media_ago;deaths_media_ago;cases_media_dec;deaths_media_dec
207;Guarantã;0.283;0.713;6475.2220178100015;3518107;;;14.447131980875827;0.0;5.978123578293447;0.0
208;Guararapes;0.232;0.763;32128.224378879997;3518206;0.6916729029329849;0.0;12.751324646006479;0.2008082621418343;21.58688818024719;0.5020206553545857
209;Guararema;0.257;0.731;29454.468094080006;3518305;0.738058835941156;0.1476117671882312;15.332577107938855;0.43807363165539576;4.8188099482093545;0.3285552237415469
210;Guaratinguetá;0.179;0.798;117106.70434593;3518404;0.11644391935138222;0.0;17.519175479188604;0.6335550880838646;13.277110976366206;0.303004607344457
211;Guareí;0.277;0.687;15767.439826879998;3518503;;;15.753165986449396;0.0;4.091731425051791;0.0
212;Guariba;0.245;0.719;39091.481386960004;3518602;1.279051041966366;0.0;22.77536048920755;0.7426747985611158;9.8198112254192;0.33007768824938477
213;Guarujá;0.285;0.75;316502.41262687993;3518701;1.6956163531661135;0.07372245013765712;20.027366062741415;1.0803566425702749;8.143442994468392;0.6726748906569635
214;Guarulhos;0.31;0.763;1352933.2310300001;3518800;1.7640683308884917;0.16753721578270592;10.984496486398381;0.4363279481247892;5.691337771441922;0.22174043265358137
215;Guatapará;0.284;0.743;7443.75271705;3518859;;;19.501089818592046;0.4333575515242677;1.3000726545728032;0.0
216;Guzolândia;0.414;0.698;5111.823275020001;3518909;1.7784083294377038;0.0;5.679433052075248;0.6310481168972496;17.03829915622574;1.893144350691749
217;Herculândia;0.28;0.726;9264.45626112;3519006;;;4.526491646029755;0.0;10.44574995237636;0.6963833301584238
218;Holambra;0.117;0.793;14621.841359360003;3519055;2.27969463722812;0.0;33.533572728258804;0.4412312201086685;18.09048002445541;0.22061561005433425
219;Hortolândia;0.308;0.756;230827.17385475998;3519071;0.3610204636728255;0.028881637093826035;25.99347338444343;0.6568243274563662;12.549537150123765;0.1816748139772928
220;Iacanga;0.231;0.745;11335.988585599998;3519105;;;25.326134727962305;0.0;19.634868496959538;0.0
221;Iacri;0.306;0.733;6274.7723168;3519204;;;3.084548368051062;0.0;12.338193472204248;0.0
222;Iaras;0.367;0.673;6900.8352162500005;3519253;;;11.686289958122803;0.0;2.3372579916245604;0.0
223;Ibaté;0.298;0.703;34803.32987456;3519303;;;6.673443758204915;0.18537343772791426;16.31286252005646;0.0
224;Ibirá;0.206;0.74;12086.18081169;3519402;0.8273912293557446;0.0;14.679521811150307;0.0;21.618932121875908;0.5338007931327384
